ID,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,24,5,Sunny,Medium,1,Snack,motorcycle,1,No,Metropolitian,16,4.657159782
1,35,4.3,Sandstorms,Low,0,Meal,motorcycle,1,No,Metropolitian,27,9.34843343
2,38,4.1,Sandstorms,Medium,0,Buffet,motorcycle,0,No,Metropolitian,36,10.64218546
3,27,4.9,Windy,Medium,1,Snack,scooter,1,No,Metropolitian,22,20.28756188
4,20,4.7,Cloudy,Jam,0,Buffet,motorcycle,0,Yes,,42,14.02209608
5,37,4.9,Cloudy,Jam,2,Buffet,scooter,1,No,Metropolitian,29,9.177855596
6,22,5,Sandstorms,Low,1,Drinks,motorcycle,1,No,Metropolitian,12,13.68216485
7,,,,,3,Meal,electric_scooter,1,No,Metropolitian,27,8.952822746
8,38,3.7,Sandstorms,Jam,2,Drinks,electric_scooter,3,No,Metropolitian,44,17.29786575
9,,,,,3,Snack,electric_scooter,1,No,Metropolitian,31,2.984667443
10,34,4.4,Stormy,Jam,0,Buffet,motorcycle,1,No,Metropolitian,51,13.61158511
11,35,5,Fog,Jam,1,Drinks,scooter,1,No,Metropolitian,37,9.075387359
12,29,4.4,Cloudy,Jam,2,Buffet,scooter,1,No,,36,12.20986823
13,20,4.8,Windy,Low,2,Snack,motorcycle,1,No,Metropolitian,15,3.10921074
14,26,4.6,Stormy,Medium,2,Drinks,scooter,1,No,Metropolitian,23,9.315035594
15,37,4.7,Stormy,Medium,1,Meal,motorcycle,1,No,Metropolitian,26,20.18269322
16,30,4.9,Cloudy,Jam,0,Snack,motorcycle,1,Yes,Metropolitian,53,13.76397722
17,37,4.9,Sandstorms,Low,2,Drinks,electric_scooter,1,No,Metropolitian,19,19.88015787
18,23,5,Sunny,Low,2,Meal,scooter,1,No,Urban,24,7.790944138
19,22,4.7,Sandstorms,Jam,2,Drinks,scooter,1,No,Metropolitian,26,16.85173807
20,38,5,Cloudy,Jam,2,Meal,motorcycle,1,No,Metropolitian,29,9.056672984
21,29,4.9,Windy,High,2,Snack,electric_scooter,1,No,Urban,13,1.532264787
22,20,4.9,Fog,Jam,0,Buffet,motorcycle,1,No,Metropolitian,40,16.90290153
23,30,4.8,Stormy,Low,2,Meal,scooter,1,No,Metropolitian,26,7.790489305
24,24,4.7,Stormy,Jam,1,Meal,scooter,0,No,Urban,28,19.91735935
25,28,4.8,Sunny,Jam,0,Snack,motorcycle,1,No,Urban,26,12.46406631
26,39,4.9,Windy,Jam,0,Snack,motorcycle,0,Yes,Semi-Urban,50,11.00773476
27,29,4.8,Stormy,Low,0,Buffet,motorcycle,1,No,Metropolitian,20,13.18491819
28,33,3.9,Windy,Medium,2,Meal,electric_scooter,1,No,Metropolitian,32,13.61259424
29,35,3.6,Sunny,Jam,2,Buffet,electric_scooter,1,No,Metropolitian,32,13.97194896
