,Unnamed: 0,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
0,15090,22.0,4.0,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,39,20002.52025705942
1,11153,32.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,22,20002.52025705942
2,11276,27.0,4.8,Fog,Low,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520257046745
3,18412,25.0,4.2,Windy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.520257046745
4,23690,35.0,4.9,Sunny,Jam,1,Drinks,motorcycle,1.0,No,Urban,21,20002.520257046745
5,4877,25.0,5.0,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520257046745
6,25424,21.0,5.0,Sunny,Jam,0,Snack,motorcycle,1.0,No,Urban,15,20002.520257042732
7,39593,32.0,3.5,Cloudy,Low,1,Snack,motorcycle,2.0,No,Metropolitian,36,20002.520257042732
8,16377,31.0,4.7,Fog,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,51,20002.52025703843
9,30321,25.0,4.9,Cloudy,Jam,0,Meal,motorcycle,,No,Metropolitian,27,20002.52025703843
10,28692,35.0,4.9,Cloudy,Jam,1,Drinks,scooter,2.0,No,Metropolitian,41,20002.52025703843
11,12150,23.0,4.7,Sunny,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,14,20002.52025703843
12,21273,21.0,4.6,Fog,Low,1,Buffet,scooter,1.0,No,Urban,25,20002.520257037824
13,10119,32.0,4.1,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,45,20002.520257037824
14,21349,33.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520257032207
15,40291,35.0,4.6,Fog,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,27,20002.520257032207
16,3794,39.0,5.0,Cloudy,Jam,0,Drinks,motorcycle,3.0,No,Semi-Urban,53,20002.520257032207
17,22694,23.0,5.0,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,28,20002.52025703129
18,20745,35.0,4.3,Fog,Jam,1,Snack,scooter,0.0,No,Metropolitian,40,20002.52025703129
19,27479,26.0,4.5,Sunny,High,2,Meal,electric_scooter,0.0,No,Metropolitian,14,20002.520257028576
20,38891,27.0,4.6,Sunny,Medium,0,Buffet,motorcycle,0.0,No,Metropolitian,16,20002.520257028576
21,14538,32.0,4.7,Stormy,Medium,2,Meal,electric_scooter,0.0,No,Metropolitian,32,20002.52025702837
22,6536,28.0,4.5,Windy,Jam,1,Drinks,scooter,0.0,No,Urban,13,20002.52025702837
23,13267,35.0,4.2,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,22,20002.520257028355
24,15870,31.0,4.4,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,30,20002.520257028355
25,40313,21.0,4.7,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,30,20002.520257028355
26,30392,37.0,4.9,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Urban,30,20002.520257028125
27,24592,39.0,4.8,Windy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.520257028125
28,43875,23.0,4.6,Sandstorms,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.520257028125
29,1526,27.0,4.5,Cloudy,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,21,20002.520257027973
30,42840,26.0,4.5,Stormy,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.520257027973
31,36624,22.0,4.1,Stormy,Jam,0,Meal,motorcycle,0.0,No,Metropolitian,31,20002.520257027798
32,39334,25.0,4.6,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520257027798
33,44957,24.0,4.8,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,20,20002.520257027798
34,39857,24.0,4.8,Windy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.520257027798
35,16861,20.0,4.7,Cloudy,Jam,0,Buffet,motorcycle,0.0,Yes,,42,20002.520257023803
36,9101,,,,,3,Buffet,scooter,2.0,No,Metropolitian,47,20002.520257023803
37,40961,32.0,4.6,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,38,20002.520257023803
38,42563,39.0,4.5,Stormy,Low,1,Drinks,scooter,0.0,No,Metropolitian,26,20002.520257023803
39,19382,33.0,4.1,Sandstorms,Low,0,Snack,motorcycle,0.0,No,Urban,28,20002.520257019383
40,34289,20.0,4.0,Fog,Jam,2,Buffet,scooter,1.0,No,Metropolitian,33,20002.520257019383
41,32383,38.0,4.8,Fog,Low,2,Drinks,motorcycle,0.0,No,Metropolitian,17,20002.520257017437
42,45138,22.0,4.0,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,22,20002.520257017437
43,20027,24.0,4.9,Cloudy,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,15,20002.520257017288
44,43497,34.0,4.5,Sunny,Jam,1,Buffet,scooter,1.0,No,Urban,24,20002.520257017288
45,12005,25.0,4.5,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520257017288
46,10029,28.0,4.5,Windy,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,10,20002.520257017288
47,29991,34.0,4.0,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,33,20002.52025699965
48,27808,38.0,4.7,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,18,20002.520256255022
49,21482,35.0,4.7,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,28,20002.520256255022
50,27597,32.0,4.8,Stormy,Jam,2,Snack,scooter,0.0,No,Metropolitian,27,20002.52025624634
51,38486,36.0,4.8,Cloudy,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,46,20002.52025624634
52,33191,30.0,5.0,Sunny,Low,0,Meal,motorcycle,0.0,No,Metropolitian,22,20002.52025624097
53,19122,30.0,4.7,Sunny,Jam,2,Buffet,motorcycle,0.0,No,Metropolitian,18,20002.52025624097
54,21601,34.0,4.6,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,25,20002.520256238895
55,13917,,,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,20,20002.520256238895
56,33171,21.0,4.7,Stormy,Low,0,Drinks,motorcycle,0.0,No,Urban,22,20002.520256236596
57,13110,22.0,4.6,Fog,Medium,2,Buffet,electric_scooter,1.0,No,Urban,18,20002.520256236596
58,24862,38.0,,Sunny,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520256236596
59,43867,33.0,4.6,Cloudy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,36,20002.520256217802
60,30349,29.0,4.0,Stormy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,38,20002.520256217802
61,40131,26.0,4.7,Stormy,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,16,20002.520256211184
62,17167,25.0,4.1,Cloudy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.520256211184
63,10471,39.0,4.9,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,22,20002.520256211184
64,35336,26.0,5.0,Sandstorms,High,1,Snack,scooter,1.0,No,Urban,23,20002.520256208547
65,13598,34.0,4.7,Windy,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520256208547
66,33634,30.0,4.7,Windy,Medium,2,Snack,scooter,1.0,No,Metropolitian,30,20002.520256208547
67,23096,24.0,4.8,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.520256200485
68,8290,29.0,4.6,Fog,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,27,20002.520256200485
69,4418,21.0,4.9,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,18,20002.520256200485
70,23021,29.0,4.9,Stormy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,23,20002.52025619676
71,19822,39.0,5.0,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,42,20002.52025619676
72,26174,31.0,4.8,Stormy,Low,1,Snack,scooter,1.0,No,Urban,21,20002.52025619676
73,13548,35.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,39,20002.52025619676
74,22021,28.0,4.5,Fog,Low,0,Snack,motorcycle,0.0,No,Urban,23,20002.52025619003
75,11281,32.0,4.8,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,28,20002.52025619003
76,1589,24.0,4.6,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,33,20002.52025619003
77,4754,20.0,4.8,Windy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,35,20002.520256189728
78,2900,22.0,4.7,Sandstorms,Low,2,Buffet,scooter,1.0,No,Metropolitian,15,20002.520256189728
79,18539,,,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,15,20002.520256177275
80,12847,38.0,4.6,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,20,20002.520256177275
81,42016,29.0,4.2,Sandstorms,High,0,Snack,motorcycle,1.0,No,Urban,36,20002.520256177275
82,42627,38.0,4.3,Stormy,Jam,2,Meal,scooter,1.0,No,Metropolitian,31,20002.520251727365
83,38755,25.0,5.0,Stormy,Jam,2,Buffet,scooter,1.0,No,,20,20002.520251719383
84,24518,,,,,3,Snack,scooter,1.0,No,Metropolitian,34,20002.520251676986
85,9354,32.0,4.8,Windy,Low,2,Snack,scooter,1.0,No,Metropolitian,29,20002.520251676986
86,24238,32.0,4.1,Cloudy,Low,0,Meal,motorcycle,2.0,No,Metropolitian,40,20002.5202516745
87,9136,37.0,4.7,Stormy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.5202516745
88,3199,25.0,4.7,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,22,20002.5202516745
89,15562,28.0,5.0,Cloudy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,26,20002.5202516745
90,32422,28.0,4.9,Stormy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,27,20002.5202516745
91,7449,30.0,4.6,Sunny,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,21,20002.5202516745
92,28354,23.0,4.6,Cloudy,Low,2,Drinks,motorcycle,0.0,No,Urban,15,20002.5202516745
93,26465,31.0,4.5,Windy,Jam,1,Meal,scooter,1.0,No,Urban,33,20002.520251672508
94,38810,25.0,4.9,Sunny,Jam,2,Meal,electric_scooter,0.0,,Metropolitian,10,20002.520251672508
95,14619,39.0,4.8,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.520251672293
96,26773,36.0,3.5,Cloudy,Low,2,Buffet,scooter,1.0,No,Metropolitian,34,20002.520251672293
97,4365,37.0,4.6,Fog,Medium,1,Drinks,motorcycle,2.0,No,Metropolitian,37,20002.520251672293
98,4865,25.0,4.5,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,26,20002.520251672246
99,9102,38.0,,Stormy,Jam,2,Drinks,electric_scooter,2.0,No,Metropolitian,38,20002.520251672246
100,28748,37.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,No,Metropolitian,38,20002.520251671245
101,24584,30.0,4.8,Windy,Medium,2,Drinks,motorcycle,0.0,No,Metropolitian,33,20002.520251671245
102,25739,23.0,4.1,Sandstorms,Low,0,Meal,motorcycle,0.0,No,Metropolitian,15,20002.520251671245
103,9667,25.0,4.6,Windy,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,19,20002.520251671245
104,15510,32.0,4.6,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,44,20002.520251671107
105,43229,31.0,4.5,Sandstorms,Medium,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,20002.520251671107
106,10059,33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.520251669677
107,30425,22.0,4.6,Cloudy,High,2,Buffet,scooter,,No,Metropolitian,20,20002.520251669677
108,35543,20.0,4.9,Windy,High,2,Drinks,scooter,0.0,No,Urban,18,20002.520251668342
109,26511,26.0,4.7,Fog,Jam,1,Drinks,motorcycle,0.0,No,Urban,20,20002.520251668342
110,31229,,,,,3,Meal,electric_scooter,0.0,No,Urban,28,20002.520251668342
111,7638,38.0,4.9,Stormy,Low,2,Meal,electric_scooter,1.0,No,Metropolitian,21,20002.520251666898
112,15688,23.0,4.8,Sandstorms,High,0,Buffet,motorcycle,1.0,No,Metropolitian,16,20002.520251666898
113,30409,36.0,4.3,Cloudy,Jam,1,Meal,motorcycle,1.0,Yes,Metropolitian,49,20002.520251666898
114,19987,29.0,4.6,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,27,20002.52025139077
115,36673,27.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,24,20002.52025139077
116,15178,38.0,4.6,Sandstorms,Low,1,Snack,motorcycle,1.0,No,Metropolitian,21,20002.52025139077
117,16692,29.0,4.5,Windy,Low,1,Drinks,scooter,0.0,No,Urban,12,20002.52025139077
118,24848,34.0,4.9,Windy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,32,20002.52025139077
119,8946,35.0,4.9,Sunny,Low,0,Buffet,motorcycle,1.0,No,Urban,30,20002.52025139077
120,42176,36.0,3.0,Sunny,Low,0,Meal,motorcycle,2.0,No,Metropolitian,33,20002.52025139077
121,5049,36.0,4.9,Windy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.52025139077
122,4756,38.0,4.6,Fog,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,46,20002.52025139077
123,7189,21.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,Metropolitian,44,20002.52025139077
124,39311,26.0,4.9,Sandstorms,High,1,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251342885
125,9243,29.0,5.0,Sunny,Low,2,Snack,scooter,0.0,No,Metropolitian,22,20002.520251342885
126,9530,24.0,4.7,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Metropolitian,19,20002.520251342885
127,3226,20.0,4.3,Sunny,High,0,Drinks,motorcycle,2.0,No,Metropolitian,52,20002.520251342885
128,32833,38.0,4.1,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,32,20002.520251342885
129,5607,28.0,4.6,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.520251342885
130,1743,36.0,4.7,Cloudy,Low,1,Buffet,motorcycle,0.0,No,Metropolitian,19,20002.520251342885
131,35181,35.0,4.9,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,37,20002.520251342885
132,4825,36.0,4.6,Fog,High,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.520251342885
133,13395,,,,,3,Buffet,scooter,0.0,No,Metropolitian,20,20002.520251342885
134,19649,23.0,5.0,Fog,Medium,1,Drinks,scooter,,No,Metropolitian,17,20002.520251342885
135,15351,32.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,28,20002.520251332953
136,43048,31.0,4.5,Sunny,Low,0,Drinks,motorcycle,,No,Urban,26,20002.520251332953
137,11874,23.0,4.8,Sandstorms,Jam,0,Meal,motorcycle,0.0,No,Urban,16,20002.520251332953
138,436,39.0,4.6,Stormy,Jam,1,Drinks,motorcycle,1.0,No,,25,20002.520251332953
139,26396,39.0,4.6,Stormy,Low,1,Snack,scooter,1.0,No,Metropolitian,24,20002.520251332953
140,32523,22.0,4.7,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.520251332953
141,12968,35.0,4.2,Stormy,Jam,0,Snack,motorcycle,1.0,Yes,Urban,44,20002.520251332953
142,15903,36.0,4.6,Cloudy,Jam,2,Meal,scooter,1.0,No,Metropolitian,47,20002.520251332953
143,41095,38.0,4.8,Sandstorms,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251332953
144,20229,21.0,4.7,Sunny,High,2,Meal,motorcycle,1.0,No,Urban,14,20002.520251332953
145,45043,22.0,4.7,Sunny,Low,2,Buffet,motorcycle,0.0,No,Urban,18,20002.520251332953
146,4058,20.0,3.5,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,40,20002.520251332953
147,32908,35.0,4.9,Windy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.520251332953
148,35838,33.0,4.6,Cloudy,Medium,0,Snack,motorcycle,3.0,Yes,Metropolitian,45,20002.520251332742
149,33756,25.0,4.9,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,18,20002.520251332742
150,34514,28.0,4.6,Fog,Jam,2,Snack,scooter,1.0,No,Metropolitian,31,20002.520251332742
151,25147,20.0,4.8,Fog,Jam,0,Drinks,motorcycle,3.0,No,Metropolitian,47,20002.520251332742
152,24620,30.0,4.1,Stormy,Medium,2,Meal,electric_scooter,1.0,No,Metropolitian,34,20002.520251332742
153,17760,27.0,4.7,Windy,Low,1,Drinks,motorcycle,1.0,No,Urban,11,20002.520251332742
154,6187,23.0,4.5,Fog,Jam,1,Meal,motorcycle,1.0,No,Metropolitian,27,20002.520251332742
155,45191,30.0,4.2,Stormy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,34,20002.520251332742
